sample_index,storm_id,window_start,window_end,current_lat,current_lon,current_wind_kmh,target_6h_lat,target_6h_lon,target_6h_wind_kmh,target_12h_lat,target_12h_lon,target_12h_wind_kmh,target_24h_lat,target_24h_lon,target_24h_wind_kmh
17,STORM_002,2020-05-01 09:00,2020-05-02 06:00,17.37,89.56,89.2,18.42,88.83,92.8,19.06,88.19,84.9,20.5,87.23,74.6
18,STORM_002,2020-05-01 12:00,2020-05-02 09:00,17.76,89.31,90.4,18.73,88.52,88.0,19.46,87.98,83.1,20.79,87.02,69.8
19,STORM_002,2020-05-01 15:00,2020-05-02 12:00,18.06,88.98,93.9,19.06,88.19,84.9,19.79,87.81,79.1,21.16,86.79,65.7
20,STORM_002,2020-05-01 18:00,2020-05-02 15:00,18.42,88.83,92.8,19.46,87.98,83.1,20.17,87.46,74.1,21.54,86.54,65.9
21,STORM_002,2020-05-01 21:00,2020-05-02 18:00,18.73,88.52,88.0,19.79,87.81,79.1,20.5,87.23,74.6,21.88,86.24,61.2
22,STORM_002,2020-05-02 00:00,2020-05-02 21:00,19.06,88.19,84.9,20.17,87.46,74.1,20.79,87.02,69.8,22.24,86.05,58.0
23,STORM_002,2020-05-02 03:00,2020-05-03 00:00,19.46,87.98,83.1,20.5,87.23,74.6,21.16,86.79,65.7,22.66,85.72,55.9
24,STORM_002,2020-05-02 06:00,2020-05-03 03:00,19.79,87.81,79.1,20.79,87.02,69.8,21.54,86.54,65.9,22.91,85.55,52.8
25,STORM_002,2020-05-02 09:00,2020-05-03 06:00,20.17,87.46,74.1,21.16,86.79,65.7,21.88,86.24,61.2,23.34,85.22,48.9
26,STORM_002,2020-05-02 12:00,2020-05-03 09:00,20.5,87.23,74.6,21.54,86.54,65.9,22.24,86.05,58.0,23.68,84.99,47.1
27,STORM_002,2020-05-02 15:00,2020-05-03 12:00,20.79,87.02,69.8,21.88,86.24,61.2,22.66,85.72,55.9,24.03,84.76,42.9
28,STORM_003,2020-05-01 00:00,2020-05-01 21:00,16.93,89.09,63.7,18.06,88.34,70.8,18.71,87.92,80.2,20.09,86.87,64.7
29,STORM_003,2020-05-01 03:00,2020-05-02 00:00,17.26,88.86,65.9,18.32,88.18,73.5,19.08,87.62,75.1,20.43,86.58,63.2
30,STORM_003,2020-05-01 06:00,2020-05-02 03:00,17.66,88.67,69.4,18.71,87.92,80.2,19.39,87.31,70.8,20.8,86.4,58.8
31,STORM_003,2020-05-01 09:00,2020-05-02 06:00,18.06,88.34,70.8,19.08,87.62,75.1,19.67,87.13,69.9,21.15,86.06,56.2
32,STORM_003,2020-05-01 12:00,2020-05-02 09:00,18.32,88.18,73.5,19.39,87.31,70.8,20.09,86.87,64.7,21.64,85.89,53.0
33,STORM_003,2020-05-01 15:00,2020-05-02 12:00,18.71,87.92,80.2,19.67,87.13,69.9,20.43,86.58,63.2,21.81,85.63,50.4
34,STORM_003,2020-05-01 18:00,2020-05-02 15:00,19.08,87.62,75.1,20.09,86.87,64.7,20.8,86.4,58.8,22.2,85.42,48.6
35,STORM_003,2020-05-01 21:00,2020-05-02 18:00,19.39,87.31,70.8,20.43,86.58,63.2,21.15,86.06,56.2,22.49,85.2,44.5
36,STORM_003,2020-05-02 00:00,2020-05-02 21:00,19.67,87.13,69.9,20.8,86.4,58.8,21.64,85.89,53.0,22.87,84.91,41.3
37,STORM_003,2020-05-02 03:00,2020-05-03 00:00,20.09,86.87,64.7,21.15,86.06,56.2,21.81,85.63,50.4,23.28,84.61,38.8
38,STORM_003,2020-05-02 06:00,2020-05-03 03:00,20.43,86.58,63.2,21.64,85.89,53.0,22.2,85.42,48.6,23.62,84.4,35.3
39,STORM_003,2020-05-02 09:00,2020-05-03 06:00,20.8,86.4,58.8,21.81,85.63,50.4,22.49,85.2,44.5,23.95,84.02,32.9
40,STORM_003,2020-05-02 12:00,2020-05-03 09:00,21.15,86.06,56.2,22.2,85.42,48.6,22.87,84.91,41.3,24.32,83.89,30.3
41,STORM_003,2020-05-02 15:00,2020-05-03 12:00,21.64,85.89,53.0,22.49,85.2,44.5,23.28,84.61,38.8,24.67,83.66,25.4
42,STORM_004,2020-05-01 00:00,2020-05-01 21:00,14.67,91.7,70.6,15.75,90.83,81.1,16.4,90.36,85.2,17.81,89.38,74.5
43,STORM_004,2020-05-01 03:00,2020-05-02 00:00,14.96,91.3,76.3,16.09,90.6,84.5,16.71,90.14,85.0,18.06,89.04,72.4
44,STORM_004,2020-05-01 06:00,2020-05-02 03:00,15.24,91.11,77.1,16.4,90.36,85.2,17.01,89.97,78.8,18.52,88.89,69.7
45,STORM_004,2020-05-01 09:00,2020-05-02 06:00,15.75,90.83,81.1,16.71,90.14,85.0,17.43,89.7,76.0,18.91,88.55,65.6
46,STORM_004,2020-05-01 12:00,2020-05-02 09:00,16.09,90.6,84.5,17.01,89.97,78.8,17.81,89.38,74.5,19.2,88.32,61.9
47,STORM_004,2020-05-01 15:00,2020-05-02 12:00,16.4,90.36,85.2,17.43,89.7,76.0,18.06,89.04,72.4,19.53,88.09,61.1
48,STORM_004,2020-05-01 18:00,2020-05-02 15:00,16.71,90.14,85.0,17.81,89.38,74.5,18.52,88.89,69.7,19.94,87.76,56.8
49,STORM_004,2020-05-01 21:00,2020-05-02 18:00,17.01,89.97,78.8,18.06,89.04,72.4,18.91,88.55,65.6,20.26,87.63,53.6
50,STORM_004,2020-05-02 00:00,2020-05-02 21:00,17.43,89.7,76.0,18.52,88.89,69.7,19.2,88.32,61.9,20.62,87.38,50.7
51,STORM_004,2020-05-02 03:00,2020-05-03 00:00,17.81,89.38,74.5,18.91,88.55,65.6,19.53,88.09,61.1,20.95,87.14,48.3
52,STORM_004,2020-05-02 06:00,2020-05-03 03:00,18.06,89.04,72.4,19.2,88.32,61.9,19.94,87.76,56.8,21.32,86.92,43.4
53,STORM_004,2020-05-02 09:00,2020-05-03 06:00,18.52,88.89,69.7,19.53,88.09,61.1,20.26,87.63,53.6,21.63,86.59,39.1
54,STORM_004,2020-05-02 12:00,2020-05-03 09:00,18.91,88.55,65.6,19.94,87.76,56.8,20.62,87.38,50.7,22.02,86.41,39.5
55,STORM_004,2020-05-02 15:00,2020-05-03 12:00,19.2,88.32,61.9,20.26,87.63,53.6,20.95,87.14,48.3,22.39,86.02,35.3
56,STORM_005,2020-05-01 00:00,2020-05-01 21:00,14.76,86.4,63.5,15.84,85.64,72.4,16.59,85.15,77.9,18.04,84.18,67.6
57,STORM_005,2020-05-01 03:00,2020-05-02 00:00,15.09,86.2,66.4,16.15,85.3,76.5,16.89,84.85,76.7,18.28,83.94,62.6
58,STORM_005,2020-05-01 06:00,2020-05-02 03:00,15.49,85.87,70.3,16.59,85.15,77.9,17.34,84.64,74.8,18.73,83.62,60.5
59,STORM_005,2020-05-01 09:00,2020-05-02 06:00,15.84,85.64,72.4,16.89,84.85,76.7,17.64,84.41,68.7,19.04,83.4,58.0
60,STORM_005,2020-05-01 12:00,2020-05-02 09:00,16.15,85.3,76.5,17.34,84.64,74.8,18.04,84.18,67.6,19.49,83.16,55.8
61,STORM_005,2020-05-01 15:00,2020-05-02 12:00,16.59,85.15,77.9,17.64,84.41,68.7,18.28,83.94,62.6,19.59,82.95,50.5
62,STORM_005,2020-05-01 18:00,2020-05-02 15:00,16.89,84.85,76.7,18.04,84.18,67.6,18.73,83.62,60.5,19.98,82.62,49.6
63,STORM_005,2020-05-01 21:00,2020-05-02 18:00,17.34,84.64,74.8,18.28,83.94,62.6,19.04,83.4,58.0,20.42,82.44,47.3
64,STORM_005,2020-05-02 00:00,2020-05-02 21:00,17.64,84.41,68.7,18.73,83.62,60.5,19.49,83.16,55.8,20.71,82.17,44.2
65,STORM_005,2020-05-02 03:00,2020-05-03 00:00,18.04,84.18,67.6,19.04,83.4,58.0,19.59,82.95,50.5,21.12,81.91,40.9
66,STORM_005,2020-05-02 06:00,2020-05-03 03:00,18.28,83.94,62.6,19.49,83.16,55.8,19.98,82.62,49.6,21.44,81.67,37.6
67,STORM_005,2020-05-02 09:00,2020-05-03 06:00,18.73,83.62,60.5,19.59,82.95,50.5,20.42,82.44,47.3,21.88,81.36,34.1
68,STORM_005,2020-05-02 12:00,2020-05-03 09:00,19.04,83.4,58.0,19.98,82.62,49.6,20.71,82.17,44.2,22.15,81.15,31.8
69,STORM_005,2020-05-02 15:00,2020-05-03 12:00,19.49,83.16,55.8,20.42,82.44,47.3,21.12,81.91,40.9,22.55,80.92,28.2
70,STORM_006,2020-05-01 00:00,2020-05-01 21:00,10.96,87.64,61.4,12.06,86.79,69.2,12.72,86.47,77.7,14.05,85.26,63.9
71,STORM_006,2020-05-01 03:00,2020-05-02 00:00,11.37,87.38,64.9,12.26,86.57,73.2,13.06,86.18,73.4,14.44,85.09,60.2
72,STORM_006,2020-05-01 06:00,2020-05-02 03:00,11.75,87.05,69.3,12.72,86.47,77.7,13.37,85.78,70.6,14.83,84.75,58.3
73,STORM_006,2020-05-01 09:00,2020-05-02 06:00,12.06,86.79,69.2,13.06,86.18,73.4,13.78,85.51,66.9,15.16,84.52,53.7
74,STORM_006,2020-05-01 12:00,2020-05-02 09:00,12.26,86.57,73.2,13.37,85.78,70.6,14.05,85.26,63.9,15.42,84.39,52.5
75,STORM_006,2020-05-01 15:00,2020-05-02 12:00,12.72,86.47,77.7,13.78,85.51,66.9,14.44,85.09,60.2,15.93,84.18,48.7
76,STORM_006,2020-05-01 18:00,2020-05-02 15:00,13.06,86.18,73.4,14.05,85.26,63.9,14.83,84.75,58.3,16.26,83.88,47.1
77,STORM_006,2020-05-01 21:00,2020-05-02 18:00,13.37,85.78,70.6,14.44,85.09,60.2,15.16,84.52,53.7,16.64,83.59,43.6
78,STORM_006,2020-05-02 00:00,2020-05-02 21:00,13.78,85.51,66.9,14.83,84.75,58.3,15.42,84.39,52.5,16.94,83.33,40.5
79,STORM_006,2020-05-02 03:00,2020-05-03 00:00,14.05,85.26,63.9,15.16,84.52,53.7,15.93,84.18,48.7,17.28,83.18,40.6
80,STORM_006,2020-05-02 06:00,2020-05-03 03:00,14.44,85.09,60.2,15.42,84.39,52.5,16.26,83.88,47.1,17.62,82.84,34.5
81,STORM_006,2020-05-02 09:00,2020-05-03 06:00,14.83,84.75,58.3,15.93,84.18,48.7,16.64,83.59,43.6,17.97,82.59,30.4
82,STORM_006,2020-05-02 12:00,2020-05-03 09:00,15.16,84.52,53.7,16.26,83.88,47.1,16.94,83.33,40.5,18.41,82.35,29.1
83,STORM_006,2020-05-02 15:00,2020-05-03 12:00,15.42,84.39,52.5,16.64,83.59,43.6,17.28,83.18,40.6,18.69,82.08,24.4
84,STORM_007,2020-05-01 00:00,2020-05-01 21:00,15.23,92.27,68.9,16.24,91.41,74.8,16.89,90.96,83.5,18.27,89.98,70.5
85,STORM_007,2020-05-01 03:00,2020-05-02 00:00,15.62,91.99,71.1,16.57,91.18,81.2,17.3,90.7,81.8,18.63,89.76,68.8
86,STORM_007,2020-05-01 06:00,2020-05-02 03:00,15.82,91.77,73.2,16.89,90.96,83.5,17.57,90.48,75.5,18.97,89.51,65.3
87,STORM_007,2020-05-01 09:00,2020-05-02 06:00,16.24,91.41,74.8,17.3,90.7,81.8,18.02,90.28,75.8,19.41,89.18,65.5
88,STORM_007,2020-05-01 12:00,2020-05-02 09:00,16.57,91.18,81.2,17.57,90.48,75.5,18.27,89.98,70.5,19.86,88.94,59.3
89,STORM_007,2020-05-01 15:00,2020-05-02 12:00,16.89,90.96,83.5,18.02,90.28,75.8,18.63,89.76,68.8,20.03,88.81,56.6
90,STORM_007,2020-05-01 18:00,2020-05-02 15:00,17.3,90.7,81.8,18.27,89.98,70.5,18.97,89.51,65.3,20.41,88.56,52.9
91,STORM_007,2020-05-01 21:00,2020-05-02 18:00,17.57,90.48,75.5,18.63,89.76,68.8,19.41,89.18,65.5,20.83,88.16,50.1
92,STORM_007,2020-05-02 00:00,2020-05-02 21:00,18.02,90.28,75.8,18.97,89.51,65.3,19.86,88.94,59.3,21.12,87.93,47.3
93,STORM_007,2020-05-02 03:00,2020-05-03 00:00,18.27,89.98,70.5,19.41,89.18,65.5,20.03,88.81,56.6,21.35,87.64,45.1
94,STORM_007,2020-05-02 06:00,2020-05-03 03:00,18.63,89.76,68.8,19.86,88.94,59.3,20.41,88.56,52.9,21.83,87.51,41.6
95,STORM_007,2020-05-02 09:00,2020-05-03 06:00,18.97,89.51,65.3,20.03,88.81,56.6,20.83,88.16,50.1,22.24,87.23,38.1
96,STORM_007,2020-05-02 12:00,2020-05-03 09:00,19.41,89.18,65.5,20.41,88.56,52.9,21.12,87.93,47.3,22.44,86.96,36.0
97,STORM_007,2020-05-02 15:00,2020-05-03 12:00,19.86,88.94,59.3,20.83,88.16,50.1,21.35,87.64,45.1,22.88,86.81,30.4
98,STORM_008,2020-05-01 00:00,2020-05-01 21:00,17.54,89.57,68.5,18.57,88.84,77.4,19.23,88.32,82.1,20.64,87.34,68.7
99,STORM_008,2020-05-01 03:00,2020-05-02 00:00,17.95,89.33,70.7,18.84,88.6,79.5,19.56,88.18,79.4,21.03,87.08,66.7
100,STORM_008,2020-05-01 06:00,2020-05-02 03:00,18.21,89.08,72.5,19.23,88.32,82.1,19.86,87.89,76.5,21.3,86.9,63.0
101,STORM_008,2020-05-01 09:00,2020-05-02 06:00,18.57,88.84,77.4,19.56,88.18,79.4,20.3,87.56,73.3,21.63,86.61,62.8
102,STORM_008,2020-05-01 12:00,2020-05-02 09:00,18.84,88.6,79.5,19.86,87.89,76.5,20.64,87.34,68.7,22.05,86.39,58.4
103,STORM_008,2020-05-01 15:00,2020-05-02 12:00,19.23,88.32,82.1,20.3,87.56,73.3,21.03,87.08,66.7,22.47,86.09,55.0
104,STORM_008,2020-05-01 18:00,2020-05-02 15:00,19.56,88.18,79.4,20.64,87.34,68.7,21.3,86.9,63.0,22.77,85.72,52.1
105,STORM_008,2020-05-01 21:00,2020-05-02 18:00,19.86,87.89,76.5,21.03,87.08,66.7,21.63,86.61,62.8,23.09,85.54,50.0
106,STORM_008,2020-05-02 00:00,2020-05-02 21:00,20.3,87.56,73.3,21.3,86.9,63.0,22.05,86.39,58.4,23.48,85.27,46.2
107,STORM_008,2020-05-02 03:00,2020-05-03 00:00,20.64,87.34,68.7,21.63,86.61,62.8,22.47,86.09,55.0,23.94,85.09,43.0
108,STORM_008,2020-05-02 06:00,2020-05-03 03:00,21.03,87.08,66.7,22.05,86.39,58.4,22.77,85.72,52.1,24.25,84.7,40.2
109,STORM_008,2020-05-02 09:00,2020-05-03 06:00,21.3,86.9,63.0,22.47,86.09,55.0,23.09,85.54,50.0,24.52,84.55,37.8
110,STORM_008,2020-05-02 12:00,2020-05-03 09:00,21.63,86.61,62.8,22.77,85.72,52.1,23.48,85.27,46.2,24.79,84.31,32.2
111,STORM_008,2020-05-02 15:00,2020-05-03 12:00,22.05,86.39,58.4,23.09,85.54,50.0,23.94,85.09,43.0,25.28,84.12,31.3
112,STORM_009,2020-05-01 00:00,2020-05-01 21:00,14.18,89.76,77.0,15.19,88.94,86.0,15.9,88.54,91.4,17.26,87.47,80.0
113,STORM_009,2020-05-01 03:00,2020-05-02 00:00,14.44,89.45,79.5,15.57,88.8,88.4,16.25,88.31,87.2,17.77,87.28,76.1
114,STORM_009,2020-05-01 06:00,2020-05-02 03:00,14.87,89.2,83.6,15.9,88.54,91.4,16.59,88.03,83.4,17.99,87.13,74.6
115,STORM_009,2020-05-01 09:00,2020-05-02 06:00,15.19,88.94,86.0,16.25,88.31,87.2,17.0,87.81,82.5,18.33,86.69,71.3
116,STORM_009,2020-05-01 12:00,2020-05-02 09:00,15.57,88.8,88.4,16.59,88.03,83.4,17.26,87.47,80.0,18.62,86.43,67.8
117,STORM_009,2020-05-01 15:00,2020-05-02 12:00,15.9,88.54,91.4,17.0,87.81,82.5,17.77,87.28,76.1,19.1,86.21,63.8
118,STORM_009,2020-05-01 18:00,2020-05-02 15:00,16.25,88.31,87.2,17.26,87.47,80.0,17.99,87.13,74.6,19.48,85.99,61.0
119,STORM_009,2020-05-01 21:00,2020-05-02 18:00,16.59,88.03,83.4,17.77,87.28,76.1,18.33,86.69,71.3,19.75,85.74,59.8
120,STORM_009,2020-05-02 00:00,2020-05-02 21:00,17.0,87.81,82.5,17.99,87.13,74.6,18.62,86.43,67.8,20.13,85.51,57.2
121,STORM_009,2020-05-02 03:00,2020-05-03 00:00,17.26,87.47,80.0,18.33,86.69,71.3,19.1,86.21,63.8,20.48,85.27,52.3
122,STORM_009,2020-05-02 06:00,2020-05-03 03:00,17.77,87.28,76.1,18.62,86.43,67.8,19.48,85.99,61.0,20.78,84.96,48.3
123,STORM_009,2020-05-02 09:00,2020-05-03 06:00,17.99,87.13,74.6,19.1,86.21,63.8,19.75,85.74,59.8,21.18,84.7,46.2
124,STORM_009,2020-05-02 12:00,2020-05-03 09:00,18.33,86.69,71.3,19.48,85.99,61.0,20.13,85.51,57.2,21.49,84.46,42.4
125,STORM_009,2020-05-02 15:00,2020-05-03 12:00,18.62,86.43,67.8,19.75,85.74,59.8,20.48,85.27,52.3,21.91,84.23,41.2
126,STORM_010,2020-05-01 00:00,2020-05-01 21:00,11.67,89.33,66.5,12.69,88.46,77.7,13.42,88.06,83.9,14.85,86.97,70.2
127,STORM_010,2020-05-01 03:00,2020-05-02 00:00,12.07,89.03,69.6,13.15,88.23,80.5,13.88,87.73,80.7,15.16,86.63,67.3
128,STORM_010,2020-05-01 06:00,2020-05-02 03:00,12.32,88.77,74.5,13.42,88.06,83.9,14.12,87.42,77.7,15.57,86.45,65.4
129,STORM_010,2020-05-01 09:00,2020-05-02 06:00,12.69,88.46,77.7,13.88,87.73,80.7,14.43,87.16,74.5,15.86,86.14,61.0
130,STORM_010,2020-05-01 12:00,2020-05-02 09:00,13.15,88.23,80.5,14.12,87.42,77.7,14.85,86.97,70.2,16.21,86.01,58.6
131,STORM_010,2020-05-01 15:00,2020-05-02 12:00,13.42,88.06,83.9,14.43,87.16,74.5,15.16,86.63,67.3,16.61,85.71,54.8
132,STORM_010,2020-05-01 18:00,2020-05-02 15:00,13.88,87.73,80.7,14.85,86.97,70.2,15.57,86.45,65.4,16.94,85.4,51.8
133,STORM_010,2020-05-01 21:00,2020-05-02 18:00,14.12,87.42,77.7,15.16,86.63,67.3,15.86,86.14,61.0,17.26,85.29,49.0
134,STORM_010,2020-05-02 00:00,2020-05-02 21:00,14.43,87.16,74.5,15.57,86.45,65.4,16.21,86.01,58.6,17.71,84.93,45.0
135,STORM_010,2020-05-02 03:00,2020-05-03 00:00,14.85,86.97,70.2,15.86,86.14,61.0,16.61,85.71,54.8,17.85,84.73,44.9
136,STORM_010,2020-05-02 06:00,2020-05-03 03:00,15.16,86.63,67.3,16.21,86.01,58.6,16.94,85.4,51.8,18.39,84.47,41.4
137,STORM_010,2020-05-02 09:00,2020-05-03 06:00,15.57,86.45,65.4,16.61,85.71,54.8,17.26,85.29,49.0,18.63,84.25,38.0
138,STORM_010,2020-05-02 12:00,2020-05-03 09:00,15.86,86.14,61.0,16.94,85.4,51.8,17.71,84.93,45.0,19.09,83.92,33.9
139,STORM_010,2020-05-02 15:00,2020-05-03 12:00,16.21,86.01,58.6,17.26,85.29,49.0,17.85,84.73,44.9,19.44,83.66,30.2
140,STORM_011,2020-05-01 00:00,2020-05-01 21:00,10.52,91.78,75.7,11.58,90.89,85.4,12.16,90.55,91.3,13.65,89.44,77.5
141,STORM_011,2020-05-01 03:00,2020-05-02 00:00,10.82,91.41,77.9,11.83,90.68,87.3,12.62,90.19,89.0,13.99,89.18,74.4
142,STORM_011,2020-05-01 06:00,2020-05-02 03:00,11.23,91.31,82.4,12.16,90.55,91.3,12.9,89.96,87.1,14.31,89.0,72.9
143,STORM_011,2020-05-01 09:00,2020-05-02 06:00,11.58,90.89,85.4,12.62,90.19,89.0,13.32,89.59,82.3,14.67,88.68,70.5
144,STORM_011,2020-05-01 12:00,2020-05-02 09:00,11.83,90.68,87.3,12.9,89.96,87.1,13.65,89.44,77.5,14.99,88.44,66.3
145,STORM_011,2020-05-01 15:00,2020-05-02 12:00,12.16,90.55,91.3,13.32,89.59,82.3,13.99,89.18,74.4,15.32,88.18,63.3
146,STORM_011,2020-05-01 18:00,2020-05-02 15:00,12.62,90.19,89.0,13.65,89.44,77.5,14.31,89.0,72.9,15.82,87.96,59.4
147,STORM_011,2020-05-01 21:00,2020-05-02 18:00,12.9,89.96,87.1,13.99,89.18,74.4,14.67,88.68,70.5,16.06,87.73,58.9
148,STORM_011,2020-05-02 00:00,2020-05-02 21:00,13.32,89.59,82.3,14.31,89.0,72.9,14.99,88.44,66.3,16.45,87.43,54.6
149,STORM_011,2020-05-02 03:00,2020-05-03 00:00,13.65,89.44,77.5,14.67,88.68,70.5,15.32,88.18,63.3,16.66,87.25,52.6
150,STORM_011,2020-05-02 06:00,2020-05-03 03:00,13.99,89.18,74.4,14.99,88.44,66.3,15.82,87.96,59.4,17.25,86.94,50.0
151,STORM_011,2020-05-02 09:00,2020-05-03 06:00,14.31,89.0,72.9,15.32,88.18,63.3,16.06,87.73,58.9,17.42,86.72,45.1
152,STORM_011,2020-05-02 12:00,2020-05-03 09:00,14.67,88.68,70.5,15.82,87.96,59.4,16.45,87.43,54.6,17.81,86.52,44.7
153,STORM_011,2020-05-02 15:00,2020-05-03 12:00,14.99,88.44,66.3,16.06,87.73,58.9,16.66,87.25,52.6,18.19,86.34,39.7
154,STORM_012,2020-05-01 00:00,2020-05-01 21:00,13.33,88.93,81.3,14.31,88.14,90.5,15.02,87.68,95.4,16.43,86.65,84.5
155,STORM_012,2020-05-01 03:00,2020-05-02 00:00,13.6,88.55,82.5,14.63,87.9,94.8,15.36,87.44,91.9,16.68,86.38,80.2
156,STORM_012,2020-05-01 06:00,2020-05-02 03:00,13.97,88.38,87.8,15.02,87.68,95.4,15.69,87.08,88.6,17.07,86.18,77.2
157,STORM_012,2020-05-01 09:00,2020-05-02 06:00,14.31,88.14,90.5,15.36,87.44,91.9,16.04,86.91,87.3,17.42,85.89,75.7
158,STORM_012,2020-05-01 12:00,2020-05-02 09:00,14.63,87.9,94.8,15.69,87.08,88.6,16.43,86.65,84.5,17.82,85.58,73.1
159,STORM_012,2020-05-01 15:00,2020-05-02 12:00,15.02,87.68,95.4,16.04,86.91,87.3,16.68,86.38,80.2,18.15,85.42,69.6
160,STORM_012,2020-05-01 18:00,2020-05-02 15:00,15.36,87.44,91.9,16.43,86.65,84.5,17.07,86.18,77.2,18.55,85.12,66.8
161,STORM_012,2020-05-01 21:00,2020-05-02 18:00,15.69,87.08,88.6,16.68,86.38,80.2,17.42,85.89,75.7,18.94,84.9,63.3
162,STORM_012,2020-05-02 00:00,2020-05-02 21:00,16.04,86.91,87.3,17.07,86.18,77.2,17.82,85.58,73.1,19.27,84.57,58.3
163,STORM_012,2020-05-02 03:00,2020-05-03 00:00,16.43,86.65,84.5,17.42,85.89,75.7,18.15,85.42,69.6,19.6,84.49,57.7
164,STORM_012,2020-05-02 06:00,2020-05-03 03:00,16.68,86.38,80.2,17.82,85.58,73.1,18.55,85.12,66.8,19.9,84.19,53.2
165,STORM_012,2020-05-02 09:00,2020-05-03 06:00,17.07,86.18,77.2,18.15,85.42,69.6,18.94,84.9,63.3,20.25,83.85,49.7
166,STORM_012,2020-05-02 12:00,2020-05-03 09:00,17.42,85.89,75.7,18.55,85.12,66.8,19.27,84.57,58.3,20.62,83.7,47.9
167,STORM_012,2020-05-02 15:00,2020-05-03 12:00,17.82,85.58,73.1,18.94,84.9,63.3,19.6,84.49,57.7,20.88,83.46,44.9
168,STORM_013,2020-05-01 00:00,2020-05-01 21:00,12.54,90.59,64.2,13.6,89.75,72.5,14.4,89.3,76.5,15.73,88.25,65.2
169,STORM_013,2020-05-01 03:00,2020-05-02 00:00,12.85,90.17,67.6,13.95,89.49,75.6,14.58,89.07,76.7,16.08,88.01,63.3
170,STORM_013,2020-05-01 06:00,2020-05-02 03:00,13.34,89.9,69.8,14.4,89.3,76.5,14.91,88.68,71.7,16.53,87.77,61.3
171,STORM_013,2020-05-01 09:00,2020-05-02 06:00,13.6,89.75,72.5,14.58,89.07,76.7,15.47,88.49,66.6,16.69,87.55,57.5
172,STORM_013,2020-05-01 12:00,2020-05-02 09:00,13.95,89.49,75.6,14.91,88.68,71.7,15.73,88.25,65.2,17.17,87.18,54.5
173,STORM_013,2020-05-01 15:00,2020-05-02 12:00,14.4,89.3,76.5,15.47,88.49,66.6,16.08,88.01,63.3,17.5,86.93,50.7
174,STORM_013,2020-05-01 18:00,2020-05-02 15:00,14.58,89.07,76.7,15.73,88.25,65.2,16.53,87.77,61.3,17.9,86.77,47.4
175,STORM_013,2020-05-01 21:00,2020-05-02 18:00,14.91,88.68,71.7,16.08,88.01,63.3,16.69,87.55,57.5,18.21,86.48,43.9
